genome_id	catalog_num	portal_name
c933744d53304798	10015	Streptococcus pneumoniae
7c5ec03ed2294429	10054	Micrococcus luteus
547dad76b5bf4568	10092	Clostridium chauvoei
d9725f7bc85847e7	10197	Pseudomonas aeruginosa
8bb6461c24f348da	10200	Acidovorax cattleyae
2ab50c606d2a4a48	10211	Haemophilus influenzae
a1b0c996db054a91	10240	Micrococcus luteus
14ef88570f2f440c	10356	Streptococcus pneumoniae
fe05998a4c2a4f13	10366	Streptococcus pneumoniae
3db86a2e0b384893	10368	Streptococcus pneumoniae
ccb75eb2bf884f05	10370	Streptococcus pneumoniae
40d76ae1c746493d	10398	Salmonella enterica subsp. enterica serovar Pullorum
ca5860aec21a457d	10625	Citrobacter braakii
9b7489b34ccf48f1	10705	Lactobacillus delbrueckii subsp. lactis
7c77aad9d0b042dc	10717	Salmonella enterica subsp. enterica serovar Rubislaw
bbfac4abbd944b9e	10718	Salmonella enterica subsp. enterica serovar Adelaide
c3b14df85d6b480e	10721	Salmonella enterica subsp. enterica serovar Javiana
a875db18418c4a37	10735	Erysipelothrix rhusiopathiae
e0c0bbab75974e09	10778	Priestia megaterium
1d825268356b4e44	10779	Clostridium tetani
1b5c1d451fe6408e	10799	Escherichia coli
6d31e9dfdc95458a	10821	Komagataeibacter hansenii
fd86dbfb930842eb	10856	Burkholderia cepacia
64db18dd9f474f58	11039	Pasteurella multocida subsp. gallicida
79e18629d2a540d0	11170	Rhodospirillum rubrum
b17cc123011344f9	11229	Escherichia coli
970f47a8f6c3482d	11332	Aquaspirillum polymorphum
42f96651d18b4224	11376	Aneurinibacillus aneurinilyticus
e7a04767c31c4c5c	11511	Salmonella enterica subsp. enterica serovar Paratyphi A
61998881d2494764	11576	Enterococcus durans
43eac3c03b6e4acf	11628	Vibrio cholerae
cd276d16a30e4b0e	11631	Staphylococcus simulans
49f15e8ff01c4817	11635	Saccharopolyspora erythraea
c7eef7f3acc04353	11742	Ligilactobacillus salivarius
9074588ed5fe4b58	11758	Mycobacterium phlei
228df777f27c4071	11835	Shigella dysenteriae
cd2a1e3dcd764d76	11859	Sporosarcina pasteurii
3a26f1822c7348a7	11883	Cupriavidus oxalaticus
0cf5969ab2cb4e77	11913	Corynebacterium diphtheriae
64ba31a4bb354e86	11956	Clostridium chauvoei
46afbdcee2154933	12007	Salmonella enterica subsp. enterica serovar Cubana
